,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B193_mean,0.5779281160006381,0.6045195997459204,0.6761548779442951,0.49670193285509867,0.7397100242801586,0.6930038958726561,0.7071352480597474,0.7242660963752428,0.7083443540457512,0.6311457201784302,0.6516215823827585
B194_mean,0.5096625146480116,0.5448153135597887,0.6043506491191556,0.42303498443141907,0.6556447176057262,0.6315103923640253,0.6143222445535655,0.6490942212095413,0.6379434662058802,0.5665177849994069,0.5796226984669148
B195_mean,0.5491836619765088,0.5784508172278038,0.6383462196309087,0.4726261296368741,0.6851624632198686,0.6634210398164193,0.6437189993273074,0.6895226340169927,0.666553333803072,0.5945038330342094,0.6241168371035484
B196_mean,0.5788822960750478,0.6061356612082617,0.650500194696511,0.5148347475098696,0.7154882419761363,0.6684318339444267,0.6524146266255669,0.6954404429331372,0.6816976318812711,0.6241656025930877,0.662149621964839
B197_mean,0.5851976831563452,0.6016764517442432,0.6480913205993858,0.5420821844857199,0.7071762230411742,0.6960986186540405,0.6483067833128995,0.6944945652722988,0.6674731251229002,0.6321729124026129,0.6764854317783008
B198_mean,0.559839555748942,0.5870467637070675,0.6173535801774771,0.5382001053887103,0.6754453176240419,0.6587512764893866,0.5820539307199866,0.6738945601051599,0.6417776377230434,0.6172873524353762,0.6639610219312959
B199_mean,0.557167725790135,0.5664096767186997,0.6094840823086932,0.5652872884551909,0.6700773346393661,0.655329621358187,0.5692034361536954,0.6655351361167295,0.6267596573957772,0.6154515565519761,0.6665353745174782
B200_mean,0.5113168876148464,0.511136711629748,0.5570129058995227,0.5387904971182113,0.6076063430158661,0.5945847052309534,0.47097084813665846,0.6034685932867904,0.5612121512893686,0.5692485766771284,0.6233550221044539
B201_mean,0.5424651118519054,0.5382933735686709,0.5897187676811602,0.5884890432040739,0.6524536147059353,0.6681348279849638,0.49468785376571794,0.6638255939236423,0.6040427619741705,0.6234836202918007,0.6909357904559462
B202_mean,0.5515835565134306,0.5534947855380238,0.5929434754817156,0.6112493599350357,0.6843161597993668,0.6451818916922731,0.48212922753511445,0.690504938122101,0.6135977831571227,0.6435664117782715,0.718148329971206
